Rank,State,Schools Per State (Law),Law School,Average LSAT
1,Connecticut,1,Yale,173
2,Massachusetts,4,Harvard,166
3,California,6,Stanford,165
4,New York,5,Columbia,166
5,Illinois,3,Chicago,166
6,North Carolina,3,Duke,164
7,Pennsylvania,2,Pennsylvania,165
8,Virginia,4,Virginia,164
9,District of Columbia,2,Georgetown,167
10,Michigan,1,Michigan,168
11,Tennessee,1,Vanderbilt,167
12,South Carolina,1,USC,166
13,Texas,4,Texas,162
14,Washington,3,Washington U.,165
15,Georgia,2,Emory,164
16,Alabama,1,Alabama,164
17,Minnesota,1,Minnesota,164
18,Indiana,2,Notre Dame,163
19,Arizona,2,Arizona State,161
20,Colorado,1,Colorado,162
21,Iowa,1,Iowa,161
22,Utah,1,BYU,161
23,Wisconsin,1,Wisconsin,161
24,Florida,1,Florida,160
25,Louisiana,1,Tulane,160
26,Ohio,1,Ohio State,160
27,Alaska,0,N/A,0
28,Arkansas,0,N/A,0
29,Delaware,0,N/A,0
30,Hawaii,0,N/A,0
31,Idaho,0,N/A,0
32,Kansas,0,N/A,0
33,Kentucky,0,N/A,0
34,Maine,0,N/A,0
35,Maryland,0,N/A,0
36,Mississippi,0,N/A,0
37,Missouri,0,N/A,0
38,Montana,0,N/A,0
39,Nebraska,0,N/A,0
40,Nevada,0,N/A,0
41,New Hampshire,0,N/A,0
42,New Jersey,0,N/A,0
43,New Mexico,0,N/A,0
44,North Dakota,0,N/A,0
45,Oklahoma,0,N/A,0
46,Oregon,0,N/A,0
47,Rhode Island,0,N/A,0
48,South Dakota,0,N/A,0
49,Vermont,0,N/A,0
50,West Virginia,0,N/A,0
51,Wyoming,0,N/A,0
