Month,"Monthly returns for AT&T, Jan 1961 through Dec. 1967"
1961-01,0.074
1961-02,0.002
1961-03,0.074
1961-04,0.017
1961-05,0.007
1961-06,0.035
1961-07,0.064
1961-08,0.016
1961-09,0.01
1961-10,0.007
1961-11,0.096
1961-12,0.032
1962-01,0.06
1962-02,0.045
1962-03,0.029
1962-04,0.039
1962-05,0.079
1962-06,0.084
1962-07,0.08
1962-08,0.015
1962-09,0.059
1962-10,0.028
1962-11,0.059
1962-12,0.019
1963-01,0.036
1963-02,0.011
1963-03,0.02
1963-04,0.031
1963-05,0.008
1963-06,0.019
1963-07,0.006
1963-08,0.044
1963-09,0.029
1963-10,0.044
1963-11,0.05
1963-12,0
1964-01,0.04
1964-02,0.007
1964-03,0.012
1964-04,0.012
1964-05,0.009
1964-06,0.063
1964-07,0.024
1964-08,0.017
1964-09,0.016
1964-10,0.011
1964-11,0.031
1964-12,0.042
1965-01,0.007
1965-02,0.006
1965-03,0.018
1965-04,0.026
1965-05,0.033
1965-06,0.036
1965-07,0.009
1965-08,0.009
1965-09,0.009
1965-10,0.024
1965-11,0.058
1965-12,0.012
1966-01,0.019
1966-02,0.011
1966-03,0.059
1966-04,0.007
1966-05,0.028
1966-06,0.009
1966-07,0.014
1966-08,0.041
1966-09,0.005
1966-10,0.1
1966-11,0.039
1966-12,0.026
1967-01,0.052
1967-02,0.012
1967-03,0.034
1967-04,0.013
1967-05,0.062
1967-06,0.036
1967-07,0.086
1967-08,0.016
1967-09,0.022
1967-10,0.024
1967-11,0.004
1967-12,0.002
,
Monthly returns for AT&T, Jan 1961 through Dec. 1967
